id,sample,gender,q2,q3,q4,q4_1_text,q5,q6,q8,q9,q10,q12_1,q12_2,q12_3,q13_1,q13_2,q13_3,exclude
vqs48o6ckm88r4675iulct6t,PJ,female,Female,34,0,NA,0,1,NA,2,3,7,7,6,1,1,1,TRUE
ae7uvma0sv8f9gbfzoxj3itl,PJ,male,Male,34,0,NA,0,1,NA,2,3,3,4,3,3,3,2,TRUE
taomtuqul6lv1mjpv4stm2fv,WJ,female,Female,32,0,NA,0,0,2,NA,4,7,7,7,7,7,7,TRUE
w4ak4mcg7vvap57i0pz0pn7c,WJ,female,Female,51,0,NA,0,1,NA,1,4,7,4,4,7,4,4,TRUE
xpcxteadaxf2uv6dfd5pkvzj,PJ,male,M,30,0,NA,0,1,NA,2,4,6,6,7,6,6,7,TRUE
dnodge9k9v46k8wqmb9yhu3p,WJ,female,female,46,0,NA,0,1,NA,1,3,1,1,1,7,7,7,TRUE
55og5gvb1ny0gfema8o1qw5y,WJ,female,female,37,0,NA,0,1,NA,1,4,5,5,2,2,4,5,TRUE
e3y2avxmds2e0uuicbkmg41w,PJ,female,female,40,0,NA,0,1,NA,2,5,6,7,7,1,1,1,TRUE
mruknc7fajleahm1zbwrxakn,WJ,male,Male,46,0,NA,0,1,NA,1,6,6,6,3,6,6,3,TRUE
li1obycxwlh5obc2k24xsarh,WJ,female,Female,32,0,NA,0,1,NA,1,4,3,3,3,3,4,4,TRUE
y69c613so1ddspgbimi46e6d,WJ,female,Female,41,0,NA,0,1,NA,1,4,5,3,3,5,4,4,TRUE
ggu6otun3unxppr3sv929rcc,WJ,female,Female,39,0,NA,0,0,1,NA,2,4,4,2,7,6,7,TRUE
7yefwkp799ob0wd84c0kabsz,WJ,female,Female,30,0,NA,0,0,1,NA,4,2,4,2,4,4,4,TRUE
w8dndur2f5y8a1s0axt8t9v0,PJ,female,Female,31,0,NA,0,1,NA,2,2,4,5,4,4,3,3,TRUE
u83fl2mgj2l9ltxvu8fgm3w6,WJ,female,Female,28,0,NA,0,1,NA,1,4,4,4,2,4,4,4,TRUE
zabyqorwmns3pzu1lflk3s2k,WJ,male,Male,44,0,NA,0,0,2,NA,2,5,5,2,6,6,3,TRUE
6lwcygxayssr61o7cz8sddhs,PJ,female,female,26,0,NA,0,1,NA,2,2,2,3,1,3,3,4,TRUE
m4ctcgl0uwxyor0dw7zgvboa,PJ,female,Female,47,0,NA,0,1,NA,2,6,6,6,4,3,3,3,TRUE
p8c4ybb3tpz6cgyz7ndwir92,WJ,female,Female,39,0,NA,0,0,1,NA,3,3,4,2,6,5,5,TRUE
xeru295xlhb742htyum76l2o,PJ,female,Female,34,0,NA,0,1,NA,2,1,4,4,4,6,6,6,TRUE
3b99nhzhzhfhj9zqlxs4i2g1,PJ,female,Female,51,0,NA,0,1,NA,2,4,4,5,4,3,3,4,TRUE
ppe7sy7oqahwkhjqpye68q3o,WJ,female,Female,28,0,NA,0,0,1,NA,3,3,3,4,2,2,4,TRUE
6aa4fa8mqm44tzws1c68ea5z,PJ,female,Female,34,0,NA,0,1,NA,2,2,5,5,3,3,3,3,TRUE
yyef7j7mnhvoqf3158zyqcx5,PJ,female,Female,58,0,NA,0,0,1,NA,3,5,5,5,6,6,6,TRUE
khw13t0wozgpna24qar1pkd6,WJ,female,female,50,0,NA,0,1,NA,1,2,4,4,2,6,6,6,TRUE
nc9btptijnoa60ojvo8dxj2p,PJ,female,Female,27,0,NA,0,1,NA,1,4,2,2,2,4,5,2,TRUE
mytsx2i714n58n5ott3h766o,WJ,female,Female,35,0,NA,0,0,1,NA,4,4,3,2,4,6,6,TRUE
ff6nxad3odx86ng50jtovndw,PJ,female,Female,46,0,NA,0,1,NA,2,4,5,5,3,5,5,3,TRUE
oadg9105aiygeeiu7egave3b,WJ,male,Male,25,0,NA,0,0,1,NA,3,6,6,4,6,6,4,TRUE
w506siiqaktmkwa2v1966myz,WJ,female,Female,71,0,NA,0,0,1,NA,4,7,4,3,7,7,4,TRUE
uys5iig2auithw9yjcioepvk,WJ,female,Female,33,0,NA,0,1,NA,1,4,4,5,3,5,5,4,TRUE
g4c5tjpsdsp5jgbokzhb3kxd,WJ,male,MALE,31,0,NA,0,1,NA,2,4,5,5,3,5,4,3,TRUE
y7air2g0x9e19dijiw1t77rs,PJ,male,Male,49,0,NA,0,1,NA,2,5,5,6,6,2,2,2,TRUE
mc1krnywp1horab5y2xvf1r0,WJ,male,Male,25,0,NA,0,0,3,NA,6,6,6,6,2,2,2,TRUE
