ID,SAMPLE,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ExternalReference,Q2,Q3,Q4,Q4_1_TEXT,Q5,Q6,Q8,Q9,Q10_1,Q12_1,Q12_2,Q12_3,Q13_1,Q13_2,Q13_3
NA,SAMPLE,Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,External Data Reference,What is your gender?,What is your age (in years)?,What is your nationality? - Selected Choice,What is your nationality? - Other: - Text,Are you currently a student?,Do you currently have a job?,Think of jobs you have had in the past or will have in the future. Do you think these jobs are working-class jobs or middle-class/professional jobs?,"Keeping in mind how we described these jobs, do you consider your current job a working-class job or a middle-class/professional job?","People often describe their political orientation as left-wing or right-wing. On scale from a left to right, where would you position yourself? - Left:Right",Please indicate to what extent you agree or disagree with the following statements. - It is important to me to belong to the group of people in working-class jobs.,Please indicate to what extent you agree or disagree with the following statements. - Having a working-class job  reflects an important part of how I see myself.,Please indicate to what extent you agree or disagree with the following statements. - I identify with people in working-class jobs.,Please indicate to what extent you agree or disagree with the following statements. - It is important to me to belong to the group of people in middle-class/professional jobs.,Please indicate to what extent you agree or disagree with the following statements. - Having a middle-class/professional job reflects an important part of how I see myself.,Please indicate to what extent you agree or disagree with the following statements. - I identify with people in middle-class/professional jobs.
NA,"{""ImportId"":""SAMPLE""}","{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID44_3_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID45""}","{""ImportId"":""QID48""}","{""ImportId"":""QID46""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID56_4""}","{""ImportId"":""QID56_2""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID57_4""}","{""ImportId"":""QID57_2""}"
vqs48o6ckm88r4675iulct6t,PJ,2019-08-17 13:07:11,2019-08-17 13:08:32,0,100,81,1,2019-08-17 13:08:33,NA,Female,34,0,NA,0,1,NA,2,3,7,7,6,1,1,1
ae7uvma0sv8f9gbfzoxj3itl,PJ,2019-08-17 13:12:31,2019-08-17 13:13:16,0,100,44,1,2019-08-17 13:13:16,NA,Male,34,0,NA,0,1,NA,2,3,3,4,3,3,3,2
taomtuqul6lv1mjpv4stm2fv,WJ,2019-08-17 13:16:24,2019-08-17 13:17:15,0,100,50,1,2019-08-17 13:17:15,NA,Female,32,0,NA,0,0,2,NA,4,7,7,7,7,7,7
w4ak4mcg7vvap57i0pz0pn7c,WJ,2019-08-17 13:17:46,2019-08-17 13:19:09,0,100,82,1,2019-08-17 13:19:09,NA,Female,51,0,NA,0,1,NA,1,4,7,4,4,7,4,4
xpcxteadaxf2uv6dfd5pkvzj,PJ,2019-08-17 13:18:52,2019-08-17 13:19:53,0,100,61,1,2019-08-17 13:19:54,NA,M,30,0,NA,0,1,NA,2,4,6,6,7,6,6,7
dnodge9k9v46k8wqmb9yhu3p,WJ,2019-08-17 13:19:37,2019-08-17 13:20:08,0,100,31,1,2019-08-17 13:20:09,NA,female,46,0,NA,0,1,NA,1,3,1,1,1,7,7,7
55og5gvb1ny0gfema8o1qw5y,WJ,2019-08-17 13:18:37,2019-08-17 13:20:16,0,100,98,1,2019-08-17 13:20:16,NA,female,37,0,NA,0,1,NA,1,4,5,5,2,2,4,5
e3y2avxmds2e0uuicbkmg41w,PJ,2019-08-17 13:19:56,2019-08-17 13:20:57,0,100,61,1,2019-08-17 13:20:57,NA,female,40,0,NA,0,1,NA,2,5,6,7,7,1,1,1
