ID,SAMPLE,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ExternalReference,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q3_18,Q3_19,Q3_20,Q3_21,Q3_22,Q3_23,Q3_24,Q3_25,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q5_16,Q5_17,Q5_18,Q5_19,Q5_20,Q5_21,Q5_22,Q5_23,Q5_24,Q5_25,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q13
NA,SAMPLE,Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,External Data Reference,"Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - disrupt traffic (e.g., blocking roads)",Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - refuse to accept honours or awards in protest,Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - attend or organise a protest rally,Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - attend or organise a protest march,"Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - refuse to honour national symbols and traditions (e.g., refusing to sing the national anthem) until the bill is abandoned",Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - donate to political parties who oppose the bill,Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - enter and refuse to leave a building (occupation),Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - refuse to work (strike),Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - deface flags or other national symbols,Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - join or form a group of activists who oppose the bill,Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - do not buy goods or services from companies who support the bill (consumers' boycott),Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - hold meetings to inform the public,"Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - visit people in their homes to convince them about the issue (canvassing, door knocking)",Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - donate to activist groups who oppose the bill,Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - mock or insult individuals who support the bill,"Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion","Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - stand or sit in a building and refuse to leave (stand-in, sit-in)","Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - use social media (e.g., Facebook, Twitter, Instagram) to influence the public",Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - paste up posters with political messages in places where it is allowed and encouraged,Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - make a public speech,Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - spray paint political messages in public places,Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - paste up posters with political messages in places where it is not allowed or encouraged,Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - hold meetings to influence the public,Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - refuse to cooperate with the police and other government agencies,Think about the situation described on the previous page. Here is a list of actions that people in working-class jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in working-class jobs to protest against the government bill? - participate in a public meeting of representatives and elected officials,"Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - disrupt traffic (e.g., blocking roads)",Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - refuse to accept honours or awards in protest,Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - attend or organise a protest rally,Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - attend or organise a protest march,"Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - refuse to honour national symbols and traditions (e.g., refusing to sing the national anthem) until the bill is abandoned",Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - donate to political parties who oppose the bill,Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - enter and refuse to leave a building (occupation),Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - refuse to work (strike),Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - deface flags or other national symbols,Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - join or form a group of activists who oppose the bill,Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - do not buy goods or services from companies who support the bill (consumers' boycott),Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - hold meetings to inform the public,"Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - visit people in their homes to convince them about the issue (canvassing, door knocking)",Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - donate to activist groups who oppose the bill,Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - mock or insult individuals who support the bill,"Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion","Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - stand or sit in a building and refuse to leave (stand-in, sit-in)","Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - use social media (e.g., Facebook, Twitter, Instagram) to influence the public",Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - paste up posters with political messages in places where it is allowed and encouraged,Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - make a public speech,Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - spray paint political messages in public places,Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - paste up posters with political messages in places where it is not allowed or encouraged,Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - hold meetings to influence the public,Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - refuse to cooperate with the police and other government agencies,Think about the situation described on the previous page. Here is a list of actions that people in professional jobs might take to protest against the proposed government bill.    Do you think this action is an acceptable means for people in professional jobs to protest against the government bill? - participate in a public meeting of representatives and elected officials,"If the government were to introduce this bill in real life, how outraged would you be?","If the government were to introduce this bill in real life, to what extent would this bill affect you personally?","If the government were to introduce this bill in real life, to what extent would this bill affect people like you?",To what extent do you identify with people with the kinds of jobs most affected by the proposed government bill?,"How often, if at all, have you participated in protest actions such as the ones we have asked about earlier?",Show how much you favour or oppose each idea below by selecting one of the answer options. You can work quickly; your first feeling is generally best. - An ideal society requires some groups to be on top and others to be on the bottom.,Show how much you favour or oppose each idea below by selecting one of the answer options. You can work quickly; your first feeling is generally best. - Some groups of people are simply inferior to other groups.,Show how much you favour or oppose each idea below by selecting one of the answer options. You can work quickly; your first feeling is generally best. - No one group should dominate in society.,Show how much you favour or oppose each idea below by selecting one of the answer options. You can work quickly; your first feeling is generally best. - Groups at the bottom are just as deserving as groups at the top.,Show how much you favour or oppose each idea below by selecting one of the answer options. You can work quickly; your first feeling is generally best. - Group equality should not be our primary goal.,Show how much you favour or oppose each idea below by selecting one of the answer options. You can work quickly; your first feeling is generally best. - It is unjust to try to make groups equal.,Show how much you favour or oppose each idea below by selecting one of the answer options. You can work quickly; your first feeling is generally best. - We should do what we can to equalize conditions for different groups.,Show how much you favour or oppose each idea below by selecting one of the answer options. You can work quickly; your first feeling is generally best. - We should work to give all groups an equal chance to succeed.,"Please indicate to what extent you agree or disagree with the following statements. - In general, I find society to be fair.","Please indicate to what extent you agree or disagree with the following statements. - In general, our political system operates as it should.",Please indicate to what extent you agree or disagree with the following statements. - Our society needs to be radically restructured.,Please indicate to what extent you agree or disagree with the following statements. - The United Kingdom is the best country in the world to live in.,Please indicate to what extent you agree or disagree with the following statements. - Most policies serve the greater good.,Please indicate to what extent you agree or disagree with the following statements. - Everyone has a fair shot at wealth and happiness.,Please indicate to what extent you agree or disagree with the following statements. - Our society is getting worse every year.,Please indicate to what extent you agree or disagree with the following statements. - Society is set up so that people usually get what they deserve.,"At the start of this study, you read about a bill that the government planned to introduce and that some people objected to. Who were the people most affected by this measure?"
NA,"{""ImportId"":""SAMPLE""}","{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID52_4""}","{""ImportId"":""QID52_5""}","{""ImportId"":""QID52_6""}","{""ImportId"":""QID52_7""}","{""ImportId"":""QID52_8""}","{""ImportId"":""QID52_9""}","{""ImportId"":""QID52_10""}","{""ImportId"":""QID52_11""}","{""ImportId"":""QID52_12""}","{""ImportId"":""QID52_13""}","{""ImportId"":""QID52_14""}","{""ImportId"":""QID52_15""}","{""ImportId"":""QID52_16""}","{""ImportId"":""QID52_17""}","{""ImportId"":""QID52_18""}","{""ImportId"":""QID52_19""}","{""ImportId"":""QID52_20""}","{""ImportId"":""QID52_21""}","{""ImportId"":""QID52_22""}","{""ImportId"":""QID52_23""}","{""ImportId"":""QID52_24""}","{""ImportId"":""QID52_25""}","{""ImportId"":""QID52_26""}","{""ImportId"":""QID52_27""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID53_4""}","{""ImportId"":""QID53_5""}","{""ImportId"":""QID53_6""}","{""ImportId"":""QID53_7""}","{""ImportId"":""QID53_8""}","{""ImportId"":""QID53_9""}","{""ImportId"":""QID53_10""}","{""ImportId"":""QID53_11""}","{""ImportId"":""QID53_12""}","{""ImportId"":""QID53_13""}","{""ImportId"":""QID53_14""}","{""ImportId"":""QID53_15""}","{""ImportId"":""QID53_16""}","{""ImportId"":""QID53_17""}","{""ImportId"":""QID53_18""}","{""ImportId"":""QID53_19""}","{""ImportId"":""QID53_20""}","{""ImportId"":""QID53_21""}","{""ImportId"":""QID53_22""}","{""ImportId"":""QID53_23""}","{""ImportId"":""QID53_24""}","{""ImportId"":""QID53_25""}","{""ImportId"":""QID53_26""}","{""ImportId"":""QID53_27""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID60""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID58_2""}","{""ImportId"":""QID58_3""}","{""ImportId"":""QID58_4""}","{""ImportId"":""QID58_5""}","{""ImportId"":""QID58_6""}","{""ImportId"":""QID58_7""}","{""ImportId"":""QID58_8""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID63_8""}","{""ImportId"":""QID63_3""}","{""ImportId"":""QID63_4""}","{""ImportId"":""QID63_5""}","{""ImportId"":""QID63_6""}","{""ImportId"":""QID63_7""}","{""ImportId"":""QID49_TEXT""}"
ggu6otun3unxppr3sv929rcc,WJ,2019-08-19 11:55:58,2019-08-19 11:59:41,0,100,223,1,2019-08-19 11:59:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,3,1,1,1,1,4,2,7,7,6,1,2,5,5,5,5,7,6,6,2,5,People in professional jobs
icrvromvum5k3pqbwr86qggu,WJ,2019-08-19 11:55:40,2019-08-19 11:59:54,0,100,253,1,2019-08-19 11:59:54,NA,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,5,1,3,2,6,6,2,2,7,7,3,2,6,4,3,3,6,3,Working class
9haowqx654y68w7fkcz30hba,WJ,2019-08-19 11:57:16,2019-08-19 12:00:33,0,100,196,1,2019-08-19 12:00:33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,6,6,6,6,1,3,3,5,6,2,2,6,7,2,1,6,6,4,2,5,3,People in lower social status
dhulsw0niw9y7vnoz9uxenev,WJ,2019-08-19 11:56:52,2019-08-19 12:01:00,0,100,247,1,2019-08-19 12:01:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,7,4,4,4,1,4,4,4,6,4,4,4,4,3,3,4,2,4,2,4,2,People in professional jobs
6qblo848b4g1mzixbgslw1x6,WJ,2019-08-19 11:57:02,2019-08-19 12:01:11,0,100,248,1,2019-08-19 12:01:11,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,0,1,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,2,3,3,4,4,4,4,4,4,2,2,5,2,3,3,6,4,Working class
7wom5vbwq9lsbl3yph327exc,WJ,2019-08-19 11:57:33,2019-08-19 12:01:51,0,100,257,1,2019-08-19 12:01:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,7,3,3,3,1,4,3,5,5,5,5,5,5,2,1,5,3,4,3,7,3,Professional people
yy2hcpw1sq8a2wtbqnzpkrec,WJ,2019-08-19 11:58:14,2019-08-19 12:01:57,0,100,223,1,2019-08-19 12:01:57,NA,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,2,3,2,6,6,3,3,6,7,2,2,5,3,4,1,6,3,Working class
lnytc2roiv150cdd10t9d8l9,WJ,2019-08-19 11:57:00,2019-08-19 12:02:05,0,100,304,1,2019-08-19 12:02:05,NA,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,7,7,1,2,2,7,6,2,2,7,7,1,1,7,2,2,2,7,1,Working class
