id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Highest education level,Sex,Employment Status,Nationality,Country of Birth,First Language,Socioeconomic Status,Current Country of Residence,Student Status
taomtuqul6lv1mjpv4stm2fv,APPROVED,2019-08-17T12:16:23Z,2019-08-17T12:18:10Z,107.598,32,6,0,100,2019-08-19T09:53:05Z,NOCODE,College/A levels,Female,Unemployed (and job seeking),United Kingdom,United Kingdom,English,1,United Kingdom,No
w4ak4mcg7vvap57i0pz0pn7c,APPROVED,2019-08-17T12:17:43Z,2019-08-17T12:19:13Z,89.776,51,295,8,97,2019-08-19T09:53:06Z,1MDRTCBN,Secondary school/GCSE,Female,Unemployed (and job seeking),United Kingdom,United Kingdom,English,1,United Kingdom,No
55og5gvb1ny0gfema8o1qw5y,APPROVED,2019-08-17T12:18:35Z,2019-08-17T12:20:19Z,104.429,37,6,0,100,2019-08-19T09:53:07Z,1MDRTCBN,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,3,NA,No
dnodge9k9v46k8wqmb9yhu3p,APPROVED,2019-08-17T12:19:33Z,2019-08-17T12:20:12Z,38.713,46,395,11,97,2019-08-19T09:53:08Z,1MDRTCBN,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
mruknc7fajleahm1zbwrxakn,APPROVED,2019-08-17T12:20:12Z,2019-08-17T12:21:16Z,63.878,46,6,0,100,2019-08-19T09:53:09Z,1MDRTCBN,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
li1obycxwlh5obc2k24xsarh,APPROVED,2019-08-17T12:22:09Z,2019-08-17T12:22:57Z,48.762,32,65,6,88,2019-08-19T09:53:10Z,1MDRTCBN,Secondary school/GCSE,Female,Full-Time,United Kingdom,United Kingdom,English,3,NA,No
7yefwkp799ob0wd84c0kabsz,APPROVED,2019-08-17T12:22:18Z,2019-08-17T12:24:35Z,137.217,30,37,0,100,2019-08-19T09:53:12Z,1MDRTCBN,No formal qualifications,Female,Unemployed (and job seeking),United Kingdom,United Kingdom,English,1,United Kingdom,No
y69c613so1ddspgbimi46e6d,APPROVED,2019-08-17T12:22:38Z,2019-08-17T12:23:22Z,43.918,41,71,2,97,2019-08-19T09:53:13Z,1MDRTCBN,Secondary school/GCSE,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
ggu6otun3unxppr3sv929rcc,APPROVED,2019-08-17T12:22:46Z,2019-08-17T12:23:49Z,63.03,39,379,10,96,2019-08-19T09:53:14Z,1MDRTCBN,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
zabyqorwmns3pzu1lflk3s2k,APPROVED,2019-08-17T12:23:15Z,2019-08-17T12:25:09Z,114.752,44,234,2,100,2019-08-19T09:53:15Z,1MDRTCBN,College/A levels,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,1,United Kingdom,No
u83fl2mgj2l9ltxvu8fgm3w6,APPROVED,2019-08-17T12:23:20Z,2019-08-17T12:24:55Z,95.026,28,3,0,100,2019-08-19T09:53:16Z,1MDRTCBN,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
p8c4ybb3tpz6cgyz7ndwir92,APPROVED,2019-08-17T12:25:29Z,2019-08-17T12:26:42Z,73.002,39,177,1,100,2019-08-19T09:53:17Z,1MDRTCBN,Secondary school/GCSE,Female,Unemployed (and job seeking),United Kingdom,United Kingdom,English,1,United Kingdom,No
ppe7sy7oqahwkhjqpye68q3o,APPROVED,2019-08-17T12:26:07Z,2019-08-17T12:27:32Z,84.386,28,3,0,100,2019-08-19T09:53:18Z,1MDRTCBN,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,Welsh,3,NA,No
khw13t0wozgpna24qar1pkd6,APPROVED,2019-08-17T12:27:10Z,2019-08-17T12:28:22Z,72.412,50,405,9,98,2019-08-19T09:53:19Z,1MDRTCBN,Secondary school/GCSE,Female,Full-Time,United Kingdom,United Kingdom,English,1,United Kingdom,No
mytsx2i714n58n5ott3h766o,APPROVED,2019-08-17T12:27:16Z,2019-08-17T12:28:27Z,71.2,35,318,3,100,2019-08-19T09:53:19Z,1MDRTCBN,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
oadg9105aiygeeiu7egave3b,APPROVED,2019-08-17T12:28:05Z,2019-08-17T12:29:21Z,76.201,25,154,0,100,2019-08-19T09:53:20Z,1MDRTCBN,College/A levels,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,1,United Kingdom,No
w506siiqaktmkwa2v1966myz,APPROVED,2019-08-17T12:29:41Z,2019-08-17T12:30:56Z,74.839,71,378,3,100,2019-08-19T09:53:21Z,1MDRTCBN,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
uys5iig2auithw9yjcioepvk,APPROVED,2019-08-17T12:29:56Z,2019-08-17T12:31:02Z,66.373,33,104,0,100,2019-08-19T09:53:22Z,1MDRTCBN,College/A levels,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
g4c5tjpsdsp5jgbokzhb3kxd,APPROVED,2019-08-17T12:30:19Z,2019-08-17T12:31:24Z,64.842,31,121,0,100,2019-08-19T09:53:23Z,1MDRTCBN,Secondary school/GCSE,Male,Full-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
mc1krnywp1horab5y2xvf1r0,APPROVED,2019-08-17T12:31:00Z,2019-08-17T12:31:54Z,53.814,25,127,4,98,2019-08-19T09:53:24Z,1MDRTCBN,Secondary school/GCSE,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,2,United Kingdom,No
cxabijw8y426gv70mlny6kgs,APPROVED,2019-08-17T12:31:32Z,2019-08-17T12:32:49Z,76.961,51,333,4,99,2019-08-19T09:53:25Z,1MDRTCBN,No formal qualifications,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,1,United Kingdom,No
j3wv5w1v9uskkts5wylnb63r,APPROVED,2019-08-17T12:32:20Z,2019-08-17T12:33:23Z,63.117,46,46,0,100,2019-08-19T09:53:26Z,1MDRTCBN,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
qohwrcux0nfxlamtq6zy33qk,APPROVED,2019-08-17T12:32:29Z,2019-08-17T12:33:44Z,75.242,29,187,0,100,2019-08-19T09:53:27Z,1MDRTCBN,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
fxbzesvk1uawj92y6r61rtrf,APPROVED,2019-08-17T12:32:19Z,2019-08-17T12:33:22Z,63.424,35,102,0,100,2019-08-19T09:53:28Z,1MDRTCBN,College/A levels,Female,Full-Time,United Kingdom,Germany,English,3,United Kingdom,No
6ubtrwcbyopm4neyustostyt,APPROVED,2019-08-17T12:32:52Z,2019-08-17T12:35:03Z,131.125,47,129,1,100,2019-08-19T09:53:29Z,1MDRTCBN,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
8v3io4dorwq6aw4exi2li5i8,APPROVED,2019-08-17T12:33:06Z,2019-08-17T12:34:28Z,81.68,55,387,2,100,2019-08-19T09:53:30Z,1MDRTCBN,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
2fczgutjk8ku8sujtehd5uml,APPROVED,2019-08-17T12:33:18Z,2019-08-17T12:34:19Z,61.036,34,151,4,98,2019-08-19T09:53:31Z,1MDRTCBN,College/A levels,Male,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
e1ty2u02jqb5c3n2r9t7m3ge,APPROVED,2019-08-17T12:33:18Z,2019-08-17T12:34:19Z,60.811,58,21,0,100,2019-08-19T09:53:33Z,1MDRTCBN,No formal qualifications,Male,Full-Time,United Kingdom,United Kingdom,English,3,NA,No
lnoy74bpx0w44iuuo6fqh4x2,APPROVED,2019-08-17T12:33:17Z,2019-08-17T12:33:57Z,39.637,30,122,3,98,2019-08-19T09:53:34Z,1MDRTCBN,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
5pw5nb7tbdqf1q5b3i3pn1mo,APPROVED,2019-08-17T12:33:26Z,2019-08-17T12:34:44Z,77.63,39,30,0,100,2019-08-19T09:53:35Z,1MDRTCBN,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
ji17uet9xo3trsnzgl2ojtwi,APPROVED,2019-08-17T12:33:30Z,2019-08-17T12:34:45Z,74.215,48,390,4,100,2019-08-19T09:53:37Z,1MDRTCBN,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
0nahdspsde5suksq2jz29ci3,APPROVED,2019-08-17T12:33:34Z,2019-08-17T12:34:38Z,63.817,37,390,5,99,2019-08-19T09:53:36Z,1MDRTCBN,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
5aunmf6why7i78iwcb2rdnu0,APPROVED,2019-08-17T12:33:45Z,2019-08-17T12:35:45Z,119.375,32,155,0,100,2019-08-19T09:53:38Z,1MDRTCBN,Secondary school/GCSE,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,3,United Kingdom,No
wl53et7a6jhtr99ai6h95lx8,APPROVED,2019-08-17T12:33:51Z,2019-08-17T12:34:42Z,51.329,43,65,1,100,2019-08-19T09:53:40Z,1MDRTCBN,Secondary school/GCSE,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
u49gadehdujcoeukrda1lsqk,APPROVED,2019-08-17T12:33:57Z,2019-08-17T12:36:39Z,161.258,51,12,0,100,2019-08-19T09:53:39Z,1MDRTCBN,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
atq3m8iroda104q6uu6ksp2e,APPROVED,2019-08-17T12:33:59Z,2019-08-17T12:35:12Z,72.792,59,760,10,99,2019-08-19T09:53:41Z,1MDRTCBN,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
qslqlb1x2ocmcqap550vd4cd,APPROVED,2019-08-17T12:34:03Z,2019-08-17T12:36:41Z,157.755,63,46,0,100,2019-08-19T09:53:42Z,1MDRTCBN,Secondary school/GCSE,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,3,NA,No
jn82nf5ruobm4evqfbp6trqv,APPROVED,2019-08-17T12:35:04Z,2019-08-17T12:38:18Z,194.765,53,84,1,100,2019-08-19T09:53:43Z,1MDRTCBN,College/A levels,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,1,United Kingdom,No
x6s4fw9q635ni8nz1um7d3bi,APPROVED,2019-08-17T12:34:12Z,2019-08-17T12:35:24Z,72.263,33,11,0,100,2019-08-19T09:53:43Z,1MDRTCBN,Secondary school/GCSE,Female,Full-Time,United Kingdom,United Kingdom,English,2,NA,No
cv0qw9isbjy8esx1mdxb3e78,APPROVED,2019-08-17T12:34:08Z,2019-08-17T12:36:06Z,118.224,40,5,0,100,2019-08-19T09:53:44Z,1MDRTCBN,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
vy5q6elzl186dwufm7ju7w2v,APPROVED,2019-08-17T12:34:12Z,2019-08-17T12:35:27Z,74.912,34,54,0,100,2019-08-19T09:53:46Z,1MDRTCBN,College/A levels,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,1,United Kingdom,No
oxbd4bmkzguni9l7ovf9vibn,APPROVED,2019-08-17T12:34:14Z,2019-08-17T12:35:53Z,98.529,44,216,0,100,2019-08-19T09:53:47Z,1MDRTCBN,College/A levels,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
i9jl0qyo2dl0ezf1ks95b9k8,APPROVED,2019-08-17T12:34:14Z,2019-08-17T12:35:14Z,60.681,42,334,8,98,2019-08-19T09:53:48Z,1MDRTCBN,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
oc3djtq2tfd6qh1xxw3yzogo,APPROVED,2019-08-17T12:34:28Z,2019-08-17T12:35:18Z,49.857,48,361,0,100,2019-08-19T09:53:49Z,1MDRTCBN,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
hclzv5vyjngajhct2fu8apao,APPROVED,2019-08-17T12:34:28Z,2019-08-17T12:35:53Z,85.278,48,72,1,100,2019-08-19T09:53:50Z,1MDRTCBN,Secondary school/GCSE,Female,Other,United Kingdom,United Kingdom,English,3,United Kingdom,No
29arvba0ffjeuri0my9crxub,APPROVED,2019-08-17T12:34:26Z,2019-08-17T12:35:31Z,65.323,25,262,3,99,2019-08-19T09:53:51Z,1MDRTCBN,College/A levels,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,3,United Kingdom,No
x16l4h49lu11frctxjp1cs4s,APPROVED,2019-08-17T12:34:41Z,2019-08-17T12:37:34Z,172.479,27,49,0,100,2019-08-19T09:53:52Z,1MDRTCBN,College/A levels,Male,Part-Time,United Kingdom,Nepal,English,3,United Kingdom,No
