id,observers,protesters,protest,age,gender,exclude,q5,q12_1,q12_2,q12_3,q12_4,q12_5,q12_6,q12_7,q12_8,q12_9,q12_10,q12_11,q12_12,q12_13,q12_14,q12_15,q12_16,q12_17,q12_18,q12_19,q12_20,q12_21,q12_22,q12_23,q12_24,q12_25,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q13_8,sjb_1,sjb_2,sjb_3,sjb_4,sjb_5,sjb_6,sjb_7,sjb_8,q14,q15,q16,q17,q18,q19_1,q21,attention_check_1,attention_check_2,attention_check_3
01mnk09t6dk96rndvy709xla,Black,White,against,58,woman,FALSE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,4,4,5,4,4,4,3,5,4,4,3,4,4,4,1,1,3,4,2,2,2,2
028ooqc19ikp8mbqwl1ea46r,White,Black,against,20,man,TRUE,4,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,2,2,5,4,3,2,6,2,2,2,3,4,3,2,2,2,7,6,4,3,1,1,1,2,1,1
03arxj1hkreuqy5vlg9f50so,Black,Black,for,20,woman,FALSE,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,7,2,3,2,4,2,1,1,1,2,3,2,4,2,7,5,5,1,3,4,2,2,1,1
04gmkmjnzppyz39jdhjur850,Black,White,against,30,woman,FALSE,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,6,6,3,6,6,6,3,6,6,6,5,6,6,6,5,6,7,7,7,4,1,3,2,2,2,2
04p3z4iia9v1fvx1ubvjbnfe,Black,Black,against,35,woman,FALSE,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,2,1,6,2,2,1,6,2,2,1,2,2,2,1,2,2,7,3,6,1,3,4,2,2,2,1
04u9sf5paudi1lf3tg2jkom8,Black,Black,against,55,woman,FALSE,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,5,4,5,4,5,3,4,4,3,4,5,4,3,3,5,4,4,1,3,6,2,2,2,1
05670awdvd1yk2ar45ejhzaa,Black,White,against,25,woman,FALSE,2,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,6,4,4,4,3,5,5,5,6,4,4,4,3,5,3,5,7,6,7,2,3,4,2,2,2,2
075dkbekjs8tvozy7s54t44d,Black,White,for,19,woman,FALSE,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,3,2,6,3,3,3,4,1,3,2,2,3,3,3,4,1,3,3,6,1,3,2,2,2,1,2
07c2e02ne4rrkizdn10n11tb,White,Black,against,22,man,FALSE,2,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,5,2,5,3,5,5,5,5,5,2,3,3,5,5,3,5,6,3,5,1,3,3,1,2,2,1
07hjwsf9ujfl8jz6u9nrar7z,Black,Black,against,25,woman,FALSE,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,3,7,4,5,2,6,2,2,3,1,4,5,2,2,2,7,4,7,4,1,1,2,2,2,1
