id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
taomtuqul6lv1mjpv4stm2fv,APPROVED,2021-01-15T18:34:13Z,2021-01-15T18:39:55Z,342.293,23,122,0,100,2021-01-15T21:32:38Z,3381AB77,Jamaica,United States,Unemployed (and job seeking),Black,English,United States,Male,No
w4ak4mcg7vvap57i0pz0pn7c,APPROVED,2021-01-15T18:35:12Z,2021-01-15T18:37:23Z,130.282,26,142,1,100,2021-01-15T21:32:49Z,3381AB77,South Africa,United States,Full-Time,Black,English,United States,Female,No
55og5gvb1ny0gfema8o1qw5y,APPROVED,2021-01-15T18:45:50Z,2021-01-15T18:50:53Z,303.24,22,117,0,100,2021-01-15T21:33:00Z,3381AB77,United States,United States,Unemployed (and job seeking),Black,DATA EXPIRED,United States,Female,Yes
dnodge9k9v46k8wqmb9yhu3p,APPROVED,2021-01-15T18:45:55Z,2021-01-15T18:55:38Z,583.028,40,131,1,100,2021-01-15T21:33:11Z,3381AB77,United States,United States,Part-Time,Black,DATA EXPIRED,United States,Female,No
mruknc7fajleahm1zbwrxakn,APPROVED,2021-01-15T18:51:11Z,2021-01-15T21:31:31Z,9619.587,32,45,0,100,2021-01-15T21:31:31Z,Manual Completion,United States,NA,NA,Black,NA,United States,Female,No
li1obycxwlh5obc2k24xsarh,APPROVED,2021-01-15T18:53:55Z,2021-01-15T19:00:58Z,423.664,55,461,5,99,2021-01-15T21:33:16Z,3381AB77,United States,United States,Full-Time,Black,English,United States,Male,No
7yefwkp799ob0wd84c0kabsz,APPROVED,2021-01-15T18:54:34Z,2021-01-15T18:59:06Z,271.692,25,138,2,99,2021-01-15T21:33:31Z,3381AB77,Jamaica,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",Black,DATA EXPIRED,United States,Male,No
y69c613so1ddspgbimi46e6d,APPROVED,2021-01-15T19:02:05Z,2021-01-15T19:05:46Z,221.227,29,152,2,99,2021-01-15T21:33:42Z,3381AB77,United States,United States,Full-Time,Black,Spanish,United States,Male,No
ggu6otun3unxppr3sv929rcc,APPROVED,2021-01-15T19:04:49Z,2021-01-15T19:08:59Z,250.005,29,117,2,99,2021-01-15T21:33:47Z,3381AB77,United States,United States,Full-Time,Black,DATA EXPIRED,United States,Male,No
zabyqorwmns3pzu1lflk3s2k,APPROVED,2021-01-15T19:04:52Z,2021-01-15T19:13:06Z,493.902,19,137,1,100,2021-01-15T21:33:56Z,3381AB77,United States,United States,Unemployed (and job seeking),Black,English,United States,Female,Yes
