id,participant_ideology,participant_gender,protesters_cause,action,response,action_text,exclude
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,1,0,attend a protest march even though it might be unlawful,FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,2,1,"hand out flyers, leaflets, or pamphlets",FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,3,1,make a public speech,FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,4,1,hold meetings to influence the public,FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,5,1,attend or organise a protest march,FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,6,1,"wear or display political symbols (e.g., patches, flags, bumper stickers)",FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,7,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,8,1,refuse to buy goods or services from companies that advocate [against/for] restricting or banning abortion (boycott),FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,9,1,paste up posters with political messages in places where it is allowed and encouraged,FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,10,0,join or form a group of activists,FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,11,0,refuse to accept honors or awards in protest,FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,12,1,donate to politicians who advocate [Field-cause] restricting or banning abortion,FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,13,0,refuse to work (strike),FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,14,1,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,15,1,donate to activist groups,FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,16,1,"visit people in their homes to convince them about the issue (canvassing, door knocking)",FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,17,0,"stand or sit in a building and refuse to leave (stand-in, sit-in)",FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,18,0,protest outside the homes of politicians who advocate [against/for] restricting or banning abortion,FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,19,0,enter and refuse to leave a building (occupation),FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,20,0,paste up posters with political messages in places where it is not allowed or encouraged,FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,21,0,"disrupt traffic (e.g., blocking roads)",FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,22,0,"refuse to pay fees, fines, or taxes in protest",FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,23,0,mock or insult individuals who are [against/for] restricting or banning abortion,FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,24,0,spray paint political messages in public places,FALSE
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,25,0,attend a protest march even though it might turn violent,FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,1,0,attend a protest march even though it might be unlawful,FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,2,0,"hand out flyers, leaflets, or pamphlets",FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,3,0,make a public speech,FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,4,0,hold meetings to influence the public,FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,5,1,attend or organise a protest march,FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,6,1,"wear or display political symbols (e.g., patches, flags, bumper stickers)",FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,7,0,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,8,1,refuse to buy goods or services from companies that advocate [against/for] restricting or banning abortion (boycott),FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,9,1,paste up posters with political messages in places where it is allowed and encouraged,FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,10,0,join or form a group of activists,FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,11,1,refuse to accept honors or awards in protest,FALSE
