id,participant_ideology,participant_gender,protesters_cause,age,sup,mor_1,mor_2,mor_3,mfq_care_1,mfq_care_2,mfq_care_3,mfq_care_4,mfq_care_5,mfq_care_6,mfq_equa_1,mfq_equa_2,mfq_equa_3,mfq_equa_4,mfq_equa_5,mfq_equa_6,mfq_prop_1,mfq_prop_2,mfq_prop_3,mfq_prop_4,mfq_prop_5,mfq_prop_6,mfq_loya_1,mfq_loya_2,mfq_loya_3,mfq_loya_4,mfq_loya_5,mfq_loya_6,mfq_auth_1,mfq_auth_2,mfq_auth_3,mfq_auth_4,mfq_auth_5,mfq_auth_6,mfq_puri_1,mfq_puri_2,mfq_puri_3,mfq_puri_4,mfq_puri_5,mfq_puri_6,sjb_1,sjb_2,sjb_3,sjb_4,sjb_5,sjb_6,sjb_7,sjb_8,pol,ide_women,ide_men,attention_check_1,attention_check_2,attention_check_3,attention_check_4,attention_check_5,exclude
01mnk09t6dk96rndvy709xla,Conservative,Man,Against,55,2,3,3,4,4,4,4,4,4,4,2,3,2,3,4,2,3,3,3,4,3,3,4,4,4,3,4,4,5,4,4,4,4,4,3,2,2,2,2,2,4,4,5,6,4,5,4,3,5,1,7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,66,1,5,5,5,5,5,5,5,5,4,1,1,1,1,1,1,1,5,4,5,3,1,4,4,4,3,4,4,2,5,4,2,1,2,4,5,5,3,5,5,6,6,6,6,2,6,6,2,7,6,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,22,1,5,5,5,5,5,5,5,5,5,2,5,2,2,1,2,5,5,5,5,5,5,1,1,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,4,1,4,1,1,7,1,2,6,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,22,2,2,4,4,4,4,3,3,4,3,2,4,2,4,3,4,4,3,4,4,5,4,4,4,3,4,5,4,4,4,3,4,4,3,4,2,2,4,2,2,6,6,6,6,6,5,5,5,5,5,7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,31,5,5,5,5,5,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,1,5,4,5,5,4,5,5,4,5,3,4,5,5,5,5,5,5,7,7,1,7,7,7,3,6,7,1,7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,67,2,2,1,1,2,1,2,2,1,3,1,1,1,1,1,1,4,3,5,5,5,4,2,3,2,3,4,2,3,2,2,1,3,2,3,2,1,2,1,1,5,4,6,5,4,6,6,2,5,2,5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,65,5,5,5,5,3,4,4,4,3,4,1,1,1,1,3,1,3,3,4,4,4,3,4,4,1,4,4,4,4,4,3,4,4,4,2,4,1,1,4,4,5,5,6,6,4,5,6,5,7,6,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,40,2,2,1,2,2,2,2,2,3,2,1,1,1,1,2,1,5,3,5,5,5,1,4,4,5,4,3,5,5,3,5,5,4,5,1,1,1,3,1,1,6,6,7,7,6,7,6,6,7,2,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,35,4,5,4,4,4,4,4,4,4,4,1,4,1,2,2,1,3,4,4,4,3,4,4,5,3,4,3,2,4,4,2,3,4,2,3,2,2,2,4,2,2,2,4,3,3,3,3,2,6,6,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
0dt6pnybelt7c683u3rhkrz2,Liberal,Woman,For,49,1,5,5,5,5,5,5,5,4,5,4,5,4,5,2,4,3,4,5,5,4,3,1,2,1,3,1,3,1,2,2,1,1,1,1,5,5,2,1,1,3,3,3,5,3,3,4,3,1,7,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
0gljlyh2alem2lgqhwyl60py,Liberal,Woman,For,19,1,4,3,3,4,4,4,4,4,3,3,5,3,5,4,5,2,1,3,2,2,3,1,4,1,4,4,1,2,2,2,2,3,2,4,2,2,2,1,1,1,1,1,1,2,1,1,1,2,5,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
0gxps78hmh8h16pcqrciazpv,Conservative,Woman,Against,67,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,3,5,1,5,5,4,4,4,4,3,4,4,5,5,5,5,5,4,5,4,4,5,5,5,6,6,6,7,5,6,6,6,7,5,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
