id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Political Spectrum (US),ProLife/ProChoice,Sex,Student Status
taomtuqul6lv1mjpv4stm2fv,APPROVED,2022-06-10T19:05:02Z,2022-06-10T19:16:08Z,665.875,23,88,2,99,2022-06-10T21:16:11Z,182D8D8E,United States,United States,Full-Time,English,United States,Liberal,Pro-choice,Female,No
w4ak4mcg7vvap57i0pz0pn7c,APPROVED,2022-06-10T19:16:38Z,2022-06-10T19:27:20Z,642.029,26,702,3,100,2022-06-10T21:16:12Z,182D8D8E,United States,United States,Full-Time,English,United States,Liberal,Pro-Life,Male,Yes
55og5gvb1ny0gfema8o1qw5y,APPROVED,2022-06-10T19:20:54Z,2022-06-10T19:40:49Z,1195.023,36,985,0,100,2022-06-10T21:16:12Z,182D8D8E,United States,United States,DATA EXPIRED,English,United States,Liberal,Pro-choice,Female,No
dnodge9k9v46k8wqmb9yhu3p,APPROVED,2022-06-10T19:29:12Z,2022-06-10T19:36:44Z,451.516,50,783,3,100,2022-06-10T21:16:12Z,182D8D8E,United States,United States,Full-Time,English,United States,Liberal,Pro-choice,Female,No
mruknc7fajleahm1zbwrxakn,TIMED-OUT,2022-06-10T19:30:47Z,NA,7656.501391,49,467,4,99,NA,NA,Brazil,United States,Full-Time,Portuguese,United States,Liberal,Pro-choice,Female,No
li1obycxwlh5obc2k24xsarh,APPROVED,2022-06-10T19:38:28Z,2022-06-10T19:49:14Z,645.898,38,102,0,100,2022-06-10T21:16:12Z,182D8D8E,United States,United States,Part-Time,English,United States,Liberal,Pro-choice,Female,No
7yefwkp799ob0wd84c0kabsz,APPROVED,2022-06-10T19:41:42Z,2022-06-10T20:07:48Z,1566.837,56,355,1,100,2022-06-10T21:16:13Z,182D8D8E,United States,United States,DATA EXPIRED,English,United States,Liberal,Pro-choice,Male,No
y69c613so1ddspgbimi46e6d,APPROVED,2022-06-10T19:41:59Z,2022-06-10T19:51:42Z,582.515,50,1103,1,100,2022-06-10T21:16:13Z,182D8D8E,United States,United States,Part-Time,English,United States,Liberal,Pro-choice,Female,No
ggu6otun3unxppr3sv929rcc,RETURNED,2022-06-10T19:53:26Z,NA,6298.032137,23,1351,0,100,NA,NA,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
zabyqorwmns3pzu1lflk3s2k,APPROVED,2022-06-10T20:04:41Z,2022-06-10T20:19:15Z,874.017,22,27,0,100,2022-06-10T21:16:14Z,182D8D8E,United States,United States,Full-Time,English,United States,Liberal,Pro-choice,Female,No
u83fl2mgj2l9ltxvu8fgm3w6,APPROVED,2022-06-10T20:06:09Z,2022-06-10T20:16:20Z,611.087,38,607,0,100,2022-06-10T21:16:16Z,182D8D8E,United States,United States,DATA EXPIRED,English,United States,Liberal,Pro-choice,Male,No
p8c4ybb3tpz6cgyz7ndwir92,APPROVED,2022-06-10T20:15:47Z,2022-06-10T20:24:21Z,513.622,23,221,2,100,2022-06-10T21:16:16Z,182D8D8E,United States,United States,Part-Time,English,United States,Liberal,Pro-choice,Female,Yes
ppe7sy7oqahwkhjqpye68q3o,APPROVED,2022-06-10T20:17:42Z,2022-06-10T20:28:25Z,643.226,23,279,1,100,2022-06-10T21:16:16Z,182D8D8E,Mexico,United States,Part-Time,Spanish,United States,Liberal,Pro-choice,Male,No
