id,sample,action,assigned,q1_1,q1_2,q1_3,q2,q3,action_text
1,with_degree,1,0,NA,NA,NA,NA,NA,sign or start a petition
1,with_degree,2,1,3,1,1,4,4,"hand out flyers, leaflets, or pamphlets"
1,with_degree,3,0,NA,NA,NA,NA,NA,paste up posters with political messages in places where it is allowed and encouraged
1,with_degree,4,0,NA,NA,NA,NA,NA,hold meetings to inform the public
1,with_degree,5,0,NA,NA,NA,NA,NA,hold meetings to influence the public
1,with_degree,6,0,NA,NA,NA,NA,NA,make a public speech
1,with_degree,7,1,1,1,1,5,1,"get involved in the media (e.g., newspapers, radio, television) to inform the public"
1,with_degree,8,1,2,1,1,5,1,"get involved in the media (e.g., newspapers, radio, television) to influence the public"
1,with_degree,9,1,1,1,1,5,1,"use social media (e.g., Facebook, Twitter, Instagram) to inform the public"
1,with_degree,10,1,1,1,1,4,2,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public"
1,with_degree,11,0,NA,NA,NA,NA,NA,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion"
1,with_degree,12,0,NA,NA,NA,NA,NA,"pay for adverts in the media (e.g., newspapers, radio, television) to influence public opinion"
1,with_degree,13,1,4,1,1,2,5,"visit people in their homes to inform them about an issue (canvassing, door knocking)"
1,with_degree,14,1,4,1,1,2,4,"visit people in their homes to convince them about an issue (canvassing, door knocking)"
1,with_degree,15,0,NA,NA,NA,NA,NA,spread misinformation to influence public opinion
1,with_degree,16,0,NA,NA,NA,NA,NA,spread rumours about politicians who oppose the cause
1,with_degree,17,0,NA,NA,NA,NA,NA,wear or display political symbols
1,with_degree,18,0,NA,NA,NA,NA,NA,"refuse to honour national symbols and traditions (e.g., refusing to sing the national anthem)"
1,with_degree,19,1,4,4,4,1,5,deface flags or other national symbols
1,with_degree,20,1,4,2,2,4,4,attend or organise a protest march
1,with_degree,21,1,3,2,2,3,4,attend or organise a protest rally
1,with_degree,22,0,NA,NA,NA,NA,NA,"stand or sit in a building and refuse to leave (stand-in, sit-in)"
1,with_degree,23,0,NA,NA,NA,NA,NA,enter and refuse to leave a building (occupation)
1,with_degree,24,0,NA,NA,NA,NA,NA,join or form a trade/labor union
1,with_degree,25,0,NA,NA,NA,NA,NA,join or form a group of activists
1,with_degree,26,0,NA,NA,NA,NA,NA,join or form a political party
1,with_degree,27,0,NA,NA,NA,NA,NA,donate to political parties who support the cause
1,with_degree,28,0,NA,NA,NA,NA,NA,donate to political parties to make them change their position on an issue
1,with_degree,29,0,NA,NA,NA,NA,NA,donate to activist groups who support the cause
1,with_degree,30,0,NA,NA,NA,NA,NA,donate to charities who support the cause
1,with_degree,31,0,NA,NA,NA,NA,NA,voting for candidates/parties
1,with_degree,32,1,2,1,1,5,1,"write letters to politicians, representatives and elected officials"
1,with_degree,33,1,1,1,1,5,1,stand in an election
1,with_degree,34,0,NA,NA,NA,NA,NA,boycott an election by not voting or spoiling one's ballot
